age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,hours_per_week,native_country,income_50k_threshold,income_90k_threshold,income
67,Private,34515,Assoc-acdm,12,Widowed,Prof-specialty,Not-in-family,White,Female,0,32,United-States,>50k,<=90k,76250
47,Private,127270,Some-college,10,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,35,Philippines,<=50k,<=90k,11250
59,Private,396338,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,>50k,<=90k,81250
54,State-gov,339419,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,50,United-States,>50k,<=90k,63750
44,Private,36061,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,>50k,>90k,91250
42,Private,46468,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,<=50k,<=90k,41250
69,?,471672,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,36,United-States,<=50k,<=90k,28750
31,Federal-gov,395511,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,41250
45,Private,42084,HS-grad,9,Divorced,Construction,Unmarried,White,Male,0,40,United-States,<=50k,<=90k,31250
50,State-gov,477689,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Male,0,40,United-States,>50k,<=90k,81250
40,Private,229186,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,45,United-States,<=50k,<=90k,36250
50,Private,422683,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,40,India,<=50k,<=90k,11250
41,Private,134093,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,44,United-States,>50k,<=90k,68750
55,Private,372748,HS-grad,9,Never-married,Production,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,71250
45,Private,370944,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,<=90k,51250
21,Private,57306,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,20,United-States,<=50k,<=90k,41250
23,Private,146720,Some-college,10,Never-married,Construction,Own-child,White,Male,0,40,United-States,>50k,<=90k,53750
38,Private,130807,12th,8,Never-married,Other-service,Own-child,White,Female,0,40,United-States,<=50k,<=90k,21250
56,Private,533923,11th,7,Widowed,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,68750
35,Self-emp-inc,82194,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,60,United-States,<=50k,<=90k,48750
29,Private,388238,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,45,United-States,>50k,>90k,96250
62,Self-emp-inc,232410,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,78000,20,United-States,>50k,<=90k,76250
52,Private,861314,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,400,70,United-States,>50k,>90k,101250
18,?,251942,Some-college,10,Never-married,?,Own-child,White,Male,0,20,United-States,<=50k,<=90k,31250
28,Private,317160,Assoc-voc,11,Never-married,Other-service,Unmarried,White,Female,0,40,United-States,<=50k,<=90k,6250
69,Self-emp-not-inc,297444,Masters,14,Married-civ-spouse,Sales,Other-relative,White,Female,0,20,United-States,>50k,<=90k,68750
29,Private,383012,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,50,United-States,>50k,<=90k,63750
23,Private,497053,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,40,United-States,<=50k,<=90k,6250
29,Private,328781,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,40,India,>50k,<=90k,53750
35,?,41301,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,5,United-States,<=50k,<=90k,1250
46,Self-emp-not-inc,470772,Bachelors,13,Divorced,Other-service,Unmarried,White,Female,0,40,Venezuela,<=50k,<=90k,16250
58,Private,420117,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,50,United-States,>50k,<=90k,56250
31,Private,355249,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,26250
40,State-gov,372193,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50k,>90k,101250
44,Private,358541,HS-grad,9,Divorced,Construction,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,31250
34,Local-gov,200166,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,50,United-States,>50k,<=90k,76250
57,Federal-gov,317522,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,>90k,101250
50,Private,161070,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,45,India,>50k,>90k,101250
40,Private,37011,HS-grad,9,Divorced,Production,Not-in-family,White,Female,0,40,United-States,<=50k,<=90k,36250
46,Private,485687,Preschool,1,Married-civ-spouse,Construction,Other-relative,White,Male,0,32,Guatemala,<=50k,<=90k,11250
60,Local-gov,161083,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,>50k,>90k,101250
66,Private,298385,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,24,United-States,>50k,<=90k,76250
44,Private,140231,7th-8th,4,Married-civ-spouse,Other-service,Husband,Black,Male,0,40,Dominican-Republic,<=50k,<=90k,46250
21,Private,52922,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,30,United-States,<=50k,<=90k,21250
34,Private,469053,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,20,United-States,>50k,<=90k,53750
28,Private,422223,Some-college,10,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,40,United-States,<=50k,<=90k,16250
24,Private,163515,Assoc-acdm,12,Never-married,Production,Own-child,White,Female,0,35,United-States,<=50k,<=90k,21250
42,Private,355410,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,>50k,<=90k,56250
38,Private,491352,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50k,>90k,101250
35,Private,329365,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,11000,40,United-States,>50k,>90k,101250
45,Private,249361,Prof-school,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,48,Germany,>50k,<=90k,78750
46,Private,614596,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,40,Bangladesh,<=50k,<=90k,43750
19,Private,247391,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,30,United-States,<=50k,<=90k,11250
43,Private,523368,9th,5,Never-married,Farming-fishing,Unmarried,White,Female,0,40,Mexico,<=50k,<=90k,3750
67,Private,445630,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,52,Iran,>50k,>90k,101250
62,Private,434848,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,>50k,>90k,101250
55,Private,291709,Doctorate,16,Widowed,Prof-specialty,Unmarried,White,Male,0,50,United-States,>50k,>90k,101250
53,Private,454048,Some-college,10,Separated,Exec-managerial,Not-in-family,Black,Female,0,40,United-States,<=50k,<=90k,41250
22,Self-emp-inc,62902,HS-grad,9,Never-married,Other-service,Other-relative,Black,Female,0,36,United-States,<=50k,<=90k,26250
32,State-gov,264553,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,40,China,>50k,<=90k,53750
24,Private,319392,HS-grad,9,Married-spouse-absent,Construction,Own-child,White,Male,0,40,United-States,<=50k,<=90k,21250
45,Private,348388,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,40,United-States,>50k,<=90k,73750
45,?,149477,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,35,United-States,<=50k,<=90k,36250
25,Private,449121,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,52,United-States,<=50k,<=90k,41250
38,Private,316300,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,50,United-States,>50k,>90k,101250
60,Private,392992,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,>50k,<=90k,66250
22,Private,427891,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,40,United-States,<=50k,<=90k,31250
56,Private,65272,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,24,United-States,<=50k,<=90k,8750
59,Private,317347,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,0,10,United-States,<=50k,<=90k,3750
36,Private,155063,Assoc-voc,11,Never-married,Prof-specialty,Own-child,White,Male,0,40,United-States,>50k,<=90k,78750
80,?,334526,Some-college,10,Widowed,?,Not-in-family,White,Female,400,40,United-States,>50k,>90k,101250
40,Private,504085,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,400,40,United-States,>50k,>90k,101250
25,Private,574905,Assoc-acdm,12,Never-married,Construction,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,26250
46,Private,396783,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,41250
55,Private,413903,Assoc-voc,11,Married-civ-spouse,Sales,Wife,White,Female,0,40,El-Salvador,>50k,<=90k,66250
58,Federal-gov,87722,Some-college,10,Divorced,Transport-moving,Unmarried,White,Female,0,40,United-States,<=50k,<=90k,41250
35,Private,451780,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,65,United-States,>50k,<=90k,66250
21,Private,504711,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,3000,35,United-States,>50k,>90k,98750
45,State-gov,439828,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,50,United-States,>50k,<=90k,63750
25,State-gov,40246,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,35,United-States,<=50k,<=90k,31250
23,Private,683742,HS-grad,9,Never-married,Exec-managerial,Own-child,Other,Male,0,50,United-States,>50k,<=90k,56250
24,Private,682425,Some-college,10,Never-married,Sales,Own-child,White,Female,0,45,United-States,<=50k,<=90k,31250
22,Private,237558,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,33750
53,Private,333682,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,25,United-States,<=50k,<=90k,16250
40,Private,455831,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,50,United-States,<=50k,<=90k,46250
25,Private,537607,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,40,United-States,<=50k,<=90k,26250
43,Private,393265,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,63750
52,Private,124057,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,0,40,United-States,>50k,<=90k,61250
39,Private,333719,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,42,United-States,>50k,<=90k,68750
24,State-gov,532689,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,46250
41,Self-emp-inc,518631,Bachelors,13,Separated,Craft-repair,Not-in-family,Black,Male,0,40,United-States,<=50k,<=90k,41250
75,?,383499,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,60,United-States,>50k,>90k,101250
32,Self-emp-not-inc,831423,Some-college,10,Never-married,Sales,Unmarried,White,Male,0,40,United-States,>50k,<=90k,63750
40,Private,469717,Assoc-acdm,12,Married-civ-spouse,Construction,Husband,White,Male,0,40,United-States,>50k,>90k,91250
40,Private,308486,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,>50k,>90k,101250
20,Private,595049,Some-college,10,Never-married,Other-service,Own-child,Other,Female,0,25,United-States,<=50k,<=90k,16250
55,Private,196064,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,40,United-States,>50k,<=90k,66250
27,Private,234405,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,4,United-States,>50k,<=90k,81250
50,Private,357526,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,76250
31,State-gov,146256,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,40,United-States,>50k,<=90k,56250
43,Private,339926,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,>50k,<=90k,63750
59,Private,499742,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,Germany,<=50k,<=90k,21250
22,Private,70592,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,11250
49,Self-emp-not-inc,575702,Some-college,10,Divorced,Transport-moving,Unmarried,White,Female,0,22,United-States,<=50k,<=90k,26250
47,Private,203811,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,61250
43,Private,513855,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,40,United-States,>50k,<=90k,53750
43,Private,213297,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,>90k,101250
40,Private,478237,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Male,0,40,United-States,>50k,<=90k,68750
24,Private,414544,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,53750
22,Private,444433,HS-grad,9,Never-married,Sales,Own-child,Other,Female,0,40,United-States,<=50k,<=90k,21250
34,State-gov,688086,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,<=50k,<=90k,46250
22,Private,629568,12th,8,Never-married,Sales,Not-in-family,Black,Female,0,40,United-States,<=50k,<=90k,3750
49,Private,435076,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,40,United-States,<=50k,<=90k,48750
29,Private,301177,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,65,United-States,>50k,<=90k,73750
32,Private,122979,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,32,United-States,>50k,<=90k,51250
22,Private,593193,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,16,United-States,<=50k,<=90k,11250
58,Self-emp-inc,29877,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,0,60,United-States,<=50k,<=90k,31250
46,State-gov,206266,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,50,Moldova,>50k,>90k,101250
24,Private,37308,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,61250
21,?,542012,Assoc-voc,11,Never-married,?,Own-child,White,Male,0,20,United-States,<=50k,<=90k,3750
37,Local-gov,452609,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,>50k,<=90k,51250
36,Self-emp-inc,323209,Bachelors,13,Married-civ-spouse,Other-service,Wife,Black,Female,0,40,United-States,<=50k,<=90k,41250
47,Self-emp-inc,319493,Bachelors,13,Married-civ-spouse,Construction,Husband,White,Male,0,40,United-States,>50k,<=90k,73750
46,Private,100933,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Other,Male,0,40,United-States,<=50k,<=90k,31250
35,Private,241831,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,38,United-States,<=50k,<=90k,26250
53,Private,537179,HS-grad,9,Married-civ-spouse,Construction,Husband,White,Male,0,40,Mexico,<=50k,<=90k,41250
38,Private,184125,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,>90k,93750
20,Private,299486,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Male,0,25,United-States,<=50k,<=90k,11250
33,Federal-gov,245934,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,1000,40,United-States,>50k,>90k,101250
72,Private,82864,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,65,United-States,>50k,>90k,101250
56,Self-emp-not-inc,511584,HS-grad,9,Married-civ-spouse,Production,Wife,Asian-Pac-Islander,Female,0,50,Korea,<=50k,<=90k,18750
22,Private,476470,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,40,United-States,<=50k,<=90k,18750
40,Private,45128,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,84,Philippines,>50k,<=90k,61250
48,Private,336745,Some-college,10,Never-married,Prof-specialty,Own-child,Black,Male,0,30,United-States,>50k,>90k,101250
25,Private,399488,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,40,United-States,<=50k,<=90k,28750
30,Self-emp-not-inc,561450,5th-6th,3,Married-civ-spouse,Construction,Husband,White,Male,0,40,Mexico,<=50k,<=90k,23750
68,State-gov,103473,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,38750
47,Private,45930,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,>90k,101250
66,State-gov,148569,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,>90k,101250
23,Private,724789,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,40,United-States,<=50k,<=90k,26250
38,Private,191447,HS-grad,9,Never-married,Production,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,36250
37,Private,289566,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,21250
61,Local-gov,372795,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,40,Bangladesh,>50k,>90k,101250
62,?,178472,Some-college,10,Divorced,?,Not-in-family,White,Male,0,40,Germany,<=50k,<=90k,18750
45,Private,175992,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,52,United-States,>50k,<=90k,58750
30,Private,104998,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,40,United-States,>50k,<=90k,58750
59,Private,522255,5th-6th,3,Separated,Other-service,Unmarried,White,Female,0,23,Mexico,<=50k,<=90k,31250
27,Private,62652,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,1875,40,United-States,>50k,<=90k,51250
67,Private,82245,Masters,14,Widowed,Exec-managerial,Not-in-family,White,Female,72000,40,United-States,>50k,>90k,91250
41,Local-gov,482443,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,40,United-States,>50k,<=90k,83750
43,Private,100425,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,26250
40,Private,480229,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Female,0,40,United-States,<=50k,<=90k,38750
42,Private,551653,Assoc-voc,11,Separated,Prof-specialty,Unmarried,White,Female,0,36,United-States,<=50k,<=90k,26250
20,?,417243,HS-grad,9,Never-married,?,Own-child,White,Female,0,40,United-States,<=50k,<=90k,6250
58,?,159021,Assoc-acdm,12,Divorced,?,Not-in-family,White,Female,0,2,United-States,<=50k,<=90k,3750
46,Private,114516,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,28,United-States,<=50k,<=90k,16250
30,Self-emp-not-inc,357354,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,12000,40,United-States,>50k,<=90k,61250
30,Private,95940,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50k,<=90k,63750
26,Private,385910,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,32,United-States,<=50k,<=90k,6250
39,Private,548379,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,>50k,<=90k,56250
55,Federal-gov,523335,Bachelors,13,Divorced,Adm-clerical,Unmarried,Black,Female,0,40,United-States,>50k,<=90k,78750
47,Private,289861,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,0,45,United-States,<=50k,<=90k,38750
30,Private,656737,Some-college,10,Never-married,Adm-clerical,Own-child,Other,Male,0,35,United-States,<=50k,<=90k,21250
45,Private,29744,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,50,United-States,>50k,<=90k,88750
48,Private,428326,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,24,40,United-States,<=50k,<=90k,48750
73,Self-emp-not-inc,374548,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,5000,10,United-States,>50k,<=90k,73750
40,Private,554887,Masters,14,Never-married,Other-service,Unmarried,White,Female,0,39,Columbia,<=50k,<=90k,36250
28,Private,292860,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,40,United-States,<=50k,<=90k,18750
49,State-gov,104823,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,<=50k,<=90k,36250
40,Private,116861,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,40,United-States,>50k,>90k,101250
30,?,219241,Some-college,10,Never-married,?,Own-child,Black,Male,0,30,United-States,<=50k,<=90k,8750
62,Self-emp-not-inc,360875,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,45,United-States,>50k,<=90k,63750
65,Federal-gov,51889,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,66250
51,Private,63665,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,50,United-States,>50k,<=90k,73750
57,Private,146445,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,42,United-States,>50k,>90k,91250
42,State-gov,335305,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,65,United-States,>50k,<=90k,83750
49,State-gov,349162,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,<=50k,<=90k,36250
30,Private,192479,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,40,United-States,<=50k,<=90k,38750
20,Self-emp-not-inc,607330,HS-grad,9,Never-married,Construction,Own-child,Other,Male,0,40,United-States,<=50k,<=90k,23750
35,Private,436927,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,46,United-States,>50k,<=90k,53750
27,Private,477519,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,40,United-States,>50k,<=90k,73750
58,Private,348841,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,<=50k,<=90k,41250
45,Private,720759,HS-grad,9,Divorced,Construction,Not-in-family,White,Male,0,60,Guatemala,>50k,<=90k,51250
63,Self-emp-inc,170693,HS-grad,9,Divorced,Production,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,48750
20,Private,278288,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,32,United-States,<=50k,<=90k,13750
37,Local-gov,499504,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,40,United-States,>50k,<=90k,76250
31,Private,207475,Some-college,10,Married-civ-spouse,Construction,Husband,White,Male,0,40,United-States,>50k,<=90k,56250
60,Private,104897,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,40,United-States,<=50k,<=90k,36250
22,Private,469303,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,55,United-States,>50k,>90k,101250
23,Private,179843,Some-college,10,Never-married,Transport-moving,Own-child,Black,Female,0,40,United-States,<=50k,<=90k,33750
25,Private,471050,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,40,United-States,<=50k,<=90k,31250
20,Private,554110,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,30,United-States,<=50k,<=90k,16250
